"","Park","Site","land_use","area_m2","LU_prop","sum_area_m2","Scale","Period"
"227","ARTI","ARTI_10","Grassland",1029574.09499797,0.0218643738960861,47089118.5766937,"catchment","2015_2019"
"228","ARTI","ARTI_10","Shrubland",7109883.98480609,0.150987833276732,47089118.5766937,"catchment","2015_2019"
"229","ARTI","ARTI_10","Nat_forest",32654215.8917824,0.693455661918979,47089118.5766937,"catchment","2015_2019"
"230","ARTI","ARTI_10","Plant_forest",6175465.13085836,0.131144207356535,47089118.5766937,"catchment","2015_2019"
"231","AIZK","AIZK_10","Urban",88785.0219714787,0.00165624027958214,53606365.6137372,"catchment","2015_2019"
"232","AIZK","AIZK_10","Bare_soil",1032901.58228641,0.0192682635814004,53606365.6137372,"catchment","2015_2019"
"233","AIZK","AIZK_10","Grassland",9710333.7767967,0.181141430977897,53606365.6137372,"catchment","2015_2019"
"234","AIZK","AIZK_10","Agriculture",8881.33508095729,0.00016567687399202,53606365.6137372,"catchment","2015_2019"
"235","AIZK","AIZK_10","Shrubland",7120919.32339926,0.132837196513364,53606365.6137372,"catchment","2015_2019"
"236","AIZK","AIZK_10","Nat_forest",21765706.8925865,0.406028400608617,53606365.6137372,"catchment","2015_2019"
"237","AIZK","AIZK_10","Plant_forest",13878837.6816159,0.258902791165147,53606365.6137372,"catchment","2015_2019"
"238","ARAL","ARAL_01","Water",150715.008735916,0.00216802625318669,69517151.1481403,"catchment","2015_2019"
"239","ARAL","ARAL_01","Urban",188354.581722586,0.00270946922610803,69517151.1481403,"catchment","2015_2019"
"240","ARAL","ARAL_01","Bare_soil",956457.579296582,0.0137585842270547,69517151.1481403,"catchment","2015_2019"
"241","ARAL","ARAL_01","Grassland",9938506.38765679,0.142964811179876,69517151.1481403,"catchment","2015_2019"
"242","ARAL","ARAL_01","Agriculture",7625.78586923003,0.0001096964668903,69517151.1481403,"catchment","2015_2019"
